model,fold,seed,cutoff,horizon_days,horizon_hours,n_train,n_test,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,n_val,train_time_s,infer_time_s,n_features,elapsed_s
ashtar_seq2seq,0,7,2015-01-01,180,4320,13220,4320,3420.37,2940.72,22.7,4.0155,0.2273,0.2644,-0.4043,4320,8758,151.65,1.31,25,153.8
ashtar_seq2seq,1,7,2016-02-01,180,4320,22722,4320,3243.33,2748.83,21.13,3.795,0.2163,0.2552,-0.3969,4320,8758,134.31,0.91,29,136.8
ashtar_seq2seq,2,7,2017-03-01,180,4320,32176,4320,2093.56,1628.59,13.21,2.0814,0.1297,0.1667,0.523,4320,8760,197.13,0.9,31,202.8
ashtar_seq2seq,3,7,2018-04-01,180,4320,41680,4320,1534.38,1248.59,9.72,1.5837,0.0985,0.1211,0.6113,4320,8760,352.91,0.91,32,360.3
ashtar_seq2seq,4,7,2019-05-01,180,4320,51160,4320,1555.01,1243.42,10.33,1.6698,0.1007,0.1259,0.6128,4320,8760,235.1,0.9,34,242.2
ashtar_seq2seq,5,7,2020-06-01,180,4320,60664,4320,1942.93,1519.98,13.29,2.1359,0.1264,0.1616,0.4357,4320,8783,294.33,0.92,35,298.4
ashtar_seq2seq,6,7,2021-07-01,180,4320,70167,4320,1540.14,1181.72,9.66,1.664,0.0971,0.1265,0.5651,4320,8759,677.41,0.92,34,681.9
ashtar_seq2seq,7,7,2022-08-01,180,4320,79670,4320,2369.74,1791.81,17.06,2.4079,0.1523,0.2014,0.5745,4320,8759,383.53,0.92,35,389.0
ashtar_seq2seq,8,7,2023-09-01,180,4320,89165,4320,1952.57,1513.28,10.52,1.7122,0.1106,0.1426,0.7093,4320,8759,651.01,0.91,35,656.5
ashtar_seq2seq,9,7,2024-10-01,180,4320,98644,4320,3138.31,2624.75,17.68,3.4679,0.1851,0.2214,0.4564,4320,8783,592.51,0.92,32,598.0
